age_at_1994,race,mean_vote,n_obs
6,Blacks,0.2883959044368601,586
6,Whites,0.2708333333333333,48
7,Blacks,0.32142857142857145,672
7,Whites,0.27692307692307694,65
8,Blacks,0.4373297002724796,734
8,Whites,0.3287671232876712,73
9,Blacks,0.5219072164948454,776
9,Whites,0.3333333333333333,69
10,Blacks,0.6022566995768688,709
10,Whites,0.4583333333333333,48
11,Blacks,0.651685393258427,712
11,Whites,0.4576271186440678,59
12,Blacks,0.6833333333333333,720
12,Whites,0.5535714285714286,56
13,Blacks,0.7542503863987635,647
13,Whites,0.7407407407407407,54
14,Blacks,0.8080939947780679,766
14,Whites,0.5434782608695652,46
15,Blacks,0.8053491827637445,673
15,Whites,0.5853658536585366,41
16,Blacks,0.8560250391236307,639
16,Whites,0.6896551724137931,58
17,Blacks,0.8744186046511628,645
17,Whites,0.7843137254901961,51
19,Blacks,0.9051321928460342,643
19,Whites,0.7538461538461538,65
20,Blacks,0.8947368421052632,646
20,Whites,0.7702702702702703,74
21,Blacks,0.892436974789916,595
21,Whites,0.6904761904761905,84
22,Blacks,0.9045383411580594,639
22,Whites,0.8441558441558441,77
23,Blacks,0.9261992619926199,542
23,Whites,0.6233766233766234,77
24,Blacks,0.9282442748091603,655
24,Whites,0.8,95
25,Blacks,0.9310924369747899,595
25,Whites,0.8354430379746836,79
26,Blacks,0.9306569343065694,548
26,Whites,0.788235294117647,85
27,Blacks,0.931237721021611,509
27,Whites,0.7682926829268293,82
28,Blacks,0.9208494208494209,518
28,Whites,0.7529411764705882,85
29,Blacks,0.9176029962546817,534
29,Whites,0.7887323943661971,71
30,Blacks,0.9316037735849056,424
30,Whites,0.75,92
31,Blacks,0.92,450
31,Whites,0.8172043010752689,93
32,Blacks,0.9381898454746137,453
32,Whites,0.8181818181818182,77
33,Blacks,0.95,400
33,Whites,0.8,80
34,Blacks,0.9372294372294372,462
34,Whites,0.7870370370370371,108
35,Blacks,0.9235294117647059,340
35,Whites,0.8604651162790697,86
36,Blacks,0.9325842696629213,356
36,Whites,0.7222222222222222,90
37,Blacks,0.95,320
37,Whites,0.7746478873239436,71
38,Blacks,0.941747572815534,309
38,Whites,0.8953488372093024,86
39,Blacks,0.9328859060402684,298
39,Whites,0.8493150684931506,73
40,Blacks,0.927007299270073,274
40,Whites,0.8108108108108109,74
41,Blacks,0.9563636363636364,275
41,Whites,0.7525773195876289,97
42,Blacks,0.9365671641791045,268
42,Whites,0.7,70
43,Blacks,0.9769585253456221,217
43,Whites,0.7076923076923077,65
44,Blacks,0.942652329749104,279
44,Whites,0.7627118644067796,59
45,Blacks,0.9570815450643777,233
45,Whites,0.8604651162790697,86
46,Blacks,0.9754098360655737,244
46,Whites,0.7746478873239436,71
47,Blacks,0.9726027397260274,219
47,Whites,0.8586956521739131,92
48,Blacks,0.9904306220095693,209
48,Whites,0.8939393939393939,66
49,Blacks,0.9583333333333334,168
49,Whites,0.8421052631578947,76
50,Blacks,0.9216867469879518,166
50,Whites,0.8023255813953488,86
51,Blacks,0.9760479041916168,167
51,Whites,0.8769230769230769,65
52,Blacks,0.9611111111111111,180
52,Whites,0.8028169014084507,71
53,Blacks,0.9415584415584416,154
53,Whites,0.75,72
54,Blacks,0.9668508287292817,181
54,Whites,0.8939393939393939,66
55,Blacks,0.984,125
55,Whites,0.7866666666666666,75
56,Blacks,0.9929577464788732,142
56,Whites,0.8253968253968254,63
57,Blacks,0.9666666666666667,120
57,Whites,0.8,55
58,Blacks,0.9741379310344828,116
58,Whites,0.7380952380952381,42
59,Blacks,0.956989247311828,93
59,Whites,0.875,40
60,Blacks,0.9863013698630136,73
60,Whites,0.86,50
61,Blacks,0.9541284403669725,109
61,Whites,0.8181818181818182,44
62,Blacks,0.9857142857142858,70
62,Whites,0.75,40
63,Blacks,0.9655172413793104,58
63,Whites,0.7333333333333333,30
64,Blacks,0.9487179487179487,78
64,Whites,0.8214285714285714,28
